Your Hand,Your Hand Type,Opponent k,Naive Win %,Bayesian Win %,Δ (Bayes − Naive) %,P(Opp Stronger) %,Most Likely Opp Type
Ac Jd Th Tc W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jd Th Tc W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jd Th Tc W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jd Th Tc W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jd Th Tc W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jd Th Td Tc,Three of a Kind,0,51.85,57.94,6.08,42.06,Pair
Ac Jd Th Td Tc,Three of a Kind,1,51.85,58.82,6.97,41.18,Pair
Ac Jd Th Td Tc,Three of a Kind,2,51.85,58.16,6.30,41.84,Pair
Ac Jd Th Td Tc,Three of a Kind,3,51.85,65.91,14.06,34.09,Pair
Ac Jd Th Td Tc,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jd Th Td Tc,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jd Th Td W,Three of a Kind,0,77.20,81.19,3.99,18.81,Pair
Ac Jd Th Td W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jd Th Td W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jd Th Td W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jd Th Td W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jd Th Td W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jd Ts Tc W,Three of a Kind,0,77.20,81.19,3.99,18.81,Pair
Ac Jd Ts Tc W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jd Ts Tc W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jd Ts Tc W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jd Ts Tc W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jd Ts Tc W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jd Ts Td Tc,Three of a Kind,0,51.85,57.94,6.08,42.06,Pair
Ac Jd Ts Td Tc,Three of a Kind,1,51.85,58.82,6.97,41.18,Pair
Ac Jd Ts Td Tc,Three of a Kind,2,51.85,58.16,6.30,41.84,Pair
Ac Jd Ts Td Tc,Three of a Kind,3,51.85,65.91,14.06,34.09,Pair
Ac Jd Ts Td Tc,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jd Ts Td Tc,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jd Ts Td W,Three of a Kind,0,77.20,81.19,3.99,18.81,Pair
Ac Jd Ts Td W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jd Ts Td W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jd Ts Td W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jd Ts Td W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
